,time,wristaccel_x,wristaccel_y,wristaccel_z,wristangle_x,wristangle_y,wristangle_z,wristlumin,subject,activity,trial,tag
1,2018-07-04T12:04:17.738369,-1.24,-0.557,0.227,-75.854,44.024,315.915,2108.154,1.0,1.0,1.0,7.0
2,2018-07-04T12:04:17.790509,-1.24,-0.557,0.227,-28.78,55.549,344.146,2108.154,1.0,1.0,1.0,7.0
3,2018-07-04T12:04:17.836632,-1.884,-0.687,0.251,27.256,87.134,372.012,2108.154,1.0,1.0,1.0,7.0
4,2018-07-04T12:04:17.885262,-1.884,-0.687,0.251,2.866,117.683,356.463,2108.154,1.0,1.0,1.0,7.0
5,2018-07-04T12:04:17.945423,-1.597,-0.646,0.112,10,30.671,126.768,2108.154,1.0,1.0,1.0,7.0
6,2018-07-04T12:04:18.007088,-1.096,-0.204,0.179,21.524,40.427,26.89,2108.154,1.0,1.0,1.0,7.0
7,2018-07-04T12:04:18.060229,-0.86,-0.527,0.235,-103.537,3.293,-39.939,2108.154,1.0,1.0,1.0,7.0
8,2018-07-04T12:04:18.104347,-0.86,-0.527,0.235,-127.866,-0.366,-21.28,2108.154,1.0,1.0,1.0,7.0
9,2018-07-04T12:04:18.148967,-0.827,-0.458,0.128,-92.317,2.561,-5.366,2108.154,1.0,1.0,1.0,7.0
10,2018-07-04T12:04:18.198098,-0.827,-0.458,0.128,-30.976,6.707,-10,2108.154,1.0,1.0,1.0,7.0
11,2018-07-04T12:04:18.241213,-1.089,-0.367,0.094,11.463,8.232,-30.183,2108.154,1.0,1.0,1.0,7.0
12,2018-07-04T12:04:18.311401,-1.238,-0.287,0.144,22.134,5.915,-86.707,2108.154,1.0,1.0,1.0,7.0
13,2018-07-04T12:04:18.361535,-1.238,-0.287,0.144,25.488,9.817,-114.817,2108.154,1.0,1.0,1.0,7.0
14,2018-07-04T12:04:18.419690,-1.178,-0.215,0.086,73.171,-2.805,-119.878,2108.154,1.0,1.0,1.0,7.0
15,2018-07-04T12:04:18.460299,-1.003,-0.017,0.084,101.22,-19.817,-88.598,2108.154,1.0,1.0,1.0,7.0
16,2018-07-04T12:04:18.513441,-1.003,-0.017,0.084,20.671,-14.573,-81.098,2108.154,1.0,1.0,1.0,7.0
17,2018-07-04T12:04:18.558561,-0.876,-0.185,0.06,-55.488,-8.11,-70.427,2108.154,1.0,1.0,1.0,7.0
18,2018-07-04T12:04:18.607692,-0.876,-0.185,0.06,-69.39,-5.671,-34.878,2108.154,1.0,1.0,1.0,7.0
19,2018-07-04T12:04:18.657827,-0.857,-0.299,0.013,4.512,0.061,37.561,2108.154,1.0,1.0,1.0,7.0
20,2018-07-04T12:04:18.696430,-0.958,-0.267,0.081,23.537,3.537,65.305,2108.154,1.0,1.0,1.0,7.0
21,2018-07-04T12:04:18.745060,-0.958,-0.267,0.081,17.5,9.512,85.549,2108.154,1.0,1.0,1.0,7.0
22,2018-07-04T12:04:18.795194,-1.093,-0.312,0.119,8.171,14.573,96.463,2108.154,1.0,1.0,1.0,7.0
23,2018-07-04T12:04:18.838309,-1.093,-0.312,0.119,8.476,14.634,96.646,2108.154,1.0,1.0,1.0,7.0
24,2018-07-04T12:04:18.885936,-1.111,-0.34,0.113,17.744,12.561,87.439,2108.154,1.0,1.0,1.0,7.0
25,2018-07-04T12:04:18.941084,-1.041,-0.321,0.115,16.037,2.439,48.598,2108.154,1.0,1.0,1.0,7.0
26,2018-07-04T12:04:19.054888,-1.004,-0.324,0.095,-9.329,-4.024,7.744,2108.154,1.0,1.0,1.0,7.0
27,2018-07-04T12:04:19.102515,-0.991,-0.314,0.068,-15.061,-5.183,-21.098,2108.154,1.0,1.0,1.0,7.0
28,2018-07-04T12:04:19.150143,-0.991,-0.314,0.068,-10.915,-3.963,-30.488,2108.154,1.0,1.0,1.0,7.0
29,2018-07-04T12:04:19.194762,-1.01,-0.292,0.072,-4.207,-2.805,-38.049,2108.154,1.0,1.0,1.0,7.0
30,2018-07-04T12:04:19.241888,-1.01,-0.292,0.072,2.317,-0.793,-44.939,2108.154,1.0,1.0,1.0,7.0
31,2018-07-04T12:04:19.294027,-1.026,-0.264,0.086,7.805,1.829,-49.573,2108.154,1.0,1.0,1.0,7.0
32,2018-07-04T12:04:19.336641,-1.026,-0.264,0.086,12.622,1.89,-51.463,2108.154,1.0,1.0,1.0,7.0
33,2018-07-04T12:04:19.382262,-1.005,-0.231,0.093,12.683,0.854,-42.256,2108.154,1.0,1.0,1.0,7.0
34,2018-07-04T12:04:19.431396,-0.97,-0.223,0.097,7.927,1.098,-32.134,2108.154,1.0,1.0,1.0,7.0
35,2018-07-04T12:04:19.477016,-0.97,-0.223,0.097,3.11,1.951,-19.39,2108.154,1.0,1.0,1.0,7.0
36,2018-07-04T12:04:19.524142,-0.958,-0.24,0.096,0.61,1.829,-5.427,2108.154,1.0,1.0,1.0,7.0
37,2018-07-04T12:04:19.582297,-0.966,-0.267,0.103,-4.756,2.927,20.793,2108.154,1.0,1.0,1.0,7.0
38,2018-07-04T12:04:19.634938,-0.966,-0.267,0.103,-5.976,2.988,32.256,2108.154,1.0,1.0,1.0,7.0
39,2018-07-04T12:04:19.680058,-0.989,-0.29,0.108,-8.841,3.11,39.939,2108.154,1.0,1.0,1.0,7.0
40,2018-07-04T12:04:19.731195,-0.989,-0.29,0.108,-21.829,3.537,42.5,2108.154,1.0,1.0,1.0,7.0
41,2018-07-04T12:04:19.773809,-1.039,-0.35,0.076,-31.159,2.134,41.585,2108.154,1.0,1.0,1.0,7.0
42,2018-07-04T12:04:19.825447,-1.032,-0.35,0.065,0.305,-0.366,33.232,2108.154,1.0,1.0,1.0,7.0
43,2018-07-04T12:04:19.874078,-1.032,-0.35,0.065,3.72,0.488,22.866,2108.154,1.0,1.0,1.0,7.0
44,2018-07-04T12:04:19.919197,-0.982,-0.324,0.095,2.073,2.622,10.976,2108.154,1.0,1.0,1.0,7.0
45,2018-07-04T12:04:19.961310,-0.982,-0.324,0.095,5.061,1.22,-0.122,2108.154,1.0,1.0,1.0,7.0
46,2018-07-04T12:04:20.011444,-1.05,-0.176,0.233,10.366,-6.707,-9.39,2369.185,1.0,1.0,1.0,7.0
47,2018-07-04T12:04:20.055061,-1.05,-0.176,0.233,-57.5,-30.976,-33.11,2369.185,1.0,1.0,1.0,7.0
48,2018-07-04T12:04:20.106699,-1.098,-0.133,0.158,-535.183,-72.805,-137.378,2369.185,1.0,1.0,1.0,7.0
49,2018-07-04T12:04:20.162489,-0.887,-0.946,-0.381,-482.744,-49.024,-136.89,2369.185,1.0,1.0,1.0,7.0
50,2018-07-04T12:04:20.210618,-0.887,-0.946,-0.381,-127.317,6.829,-97.805,2369.185,1.0,1.0,1.0,7.0
51,2018-07-04T12:04:20.259248,-0.938,-0.433,-0.204,202.5,30.244,-78.049,2369.185,1.0,1.0,1.0,7.0
52,2018-07-04T12:04:20.306374,-0.943,-0.003,0.106,47.683,-9.634,-55,2369.185,1.0,1.0,1.0,7.0
53,2018-07-04T12:04:20.388093,-0.82,-0.422,-0.063,-122.073,-27.5,-32.317,2369.185,1.0,1.0,1.0,7.0
54,2018-07-04T12:04:20.444744,-0.82,-0.422,-0.063,-56.524,-21.402,-10.793,2369.185,1.0,1.0,1.0,7.0
55,2018-07-04T12:04:20.521449,-0.794,-0.484,-0.012,6.341,-13.659,48.11,2369.185,1.0,1.0,1.0,7.0
56,2018-07-04T12:04:20.622720,-0.788,-0.668,-0.026,2.744,-22.805,85.976,2369.185,1.0,1.0,1.0,7.0
57,2018-07-04T12:04:20.665334,-0.819,-0.837,-0.044,132.866,-8.902,94.695,2369.185,1.0,1.0,1.0,7.0
58,2018-07-04T12:04:20.712459,-0.84,-0.794,0.178,229.512,7.195,97.195,2369.185,1.0,1.0,1.0,7.0
59,2018-07-04T12:04:20.763596,-0.84,-0.794,0.178,294.024,29.024,82.988,2369.185,1.0,1.0,1.0,1.0
60,2018-07-04T12:04:20.811224,-0.85,-0.997,0.928,258.049,28.049,44.695,2369.185,1.0,1.0,1.0,1.0
61,2018-07-04T12:04:20.857848,-0.85,-0.997,0.928,214.329,0.61,-1.524,2369.185,1.0,1.0,1.0,1.0
62,2018-07-04T12:04:20.904974,-1.119,-1.109,0.937,138.293,-52.012,-57.073,2369.185,1.0,1.0,1.0,1.0
63,2018-07-04T12:04:20.945081,-1.119,-1.109,0.937,117.622,-89.573,-95.244,2369.185,1.0,1.0,1.0,1.0
64,2018-07-04T12:04:20.996217,-1.208,-0.702,0.389,112.561,-116.037,-133.963,2369.185,1.0,1.0,1.0,1.0
