Time,Price
93500,3.89
93501,3.89
93502,3.90
93503,3.89
93504,3.89
93505,3.89
93506,3.88
93507,3.88
93508,3.89
93509,3.88
93510,3.89
93511,3.88
93512,3.89
93513,3.89
93514,3.88
93515,3.87
93516,3.85
93517,3.83
93518,3.82
93519,3.81
93520,3.80
93521,3.80
93522,3.80
93523,3.78
93524,3.77
93525,3.76
93526,3.76
93527,3.76
93528,3.76
93529,3.75
93530,3.76
93531,3.73
93532,3.70
93533,3.67
93534,3.66
93535,3.65
93536,3.65
93537,3.65
93538,3.66
93539,3.65
93540,3.65
93541,3.62
93542,3.60
93543,3.61
93544,3.60
93545,3.61
93546,3.61
93547,3.60
93548,3.60
93549,3.60
93550,3.55
93551,3.53
93552,3.51
93553,3.51
93554,3.51
93555,3.51
93556,3.50
93557,3.51
93558,3.51
93559,3.51
