Date,BND,BSV,BIV,BLV,VGSH,VGLT,VCSH,VCIT,VCLT,VMBS,VGIT,EDV,VTI,MGC,MGK,MGV,VV,VUG,VTV,VXF,VO,VOT,VOE,VB,VBK,VBR,VIG,VYM,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VAW,VNQ,VOX,VPU,VT,VEU,VEA,VGK,VPL,VWO,VSS,SPX INDEX,TBILL
1/1/2018,76.671494,75.68322,78.922073,87.368011,57.796364,73.302391,74.987167,81.242928,87.417366,49.589916,61.036079,111.87468,135.138184,90.46727,112.779289,73.694176,120.797485,141.93367,102.696518,110.470222,152.941849,128.857117,108.293488,145.633743,161.65033,128.972748,100.135483,81.54541,156.620941,138.716629,96.752892,68.092964,153.605789,140.814316,167.39888,136.521759,74.814926,87.566467,106.929062,72.728867,53.017078,43.36779,56.737766,70.780197,45.040546,115.457024,2743.149902,1.28
1/8/2018,76.454468,75.654465,78.648094,87.155159,57.767578,72.638435,74.987167,81.075134,87.739044,49.457447,60.844574,110.515839,137.42952,91.947655,114.731186,74.973106,122.826805,144.162704,104.442764,112.511475,155.488617,130.471039,110.403412,148.255005,164.294846,131.263504,101.627594,82.698677,161.323868,138.099579,99.774666,70.055153,156.457703,145.04628,169.282715,137.93692,72.562622,88.001541,104.569366,73.805855,53.712318,43.969078,57.586132,71.940834,45.614613,116.295227,2786.23999,1.28
1/15/2018,76.114822,75.48204,78.166306,86.072311,57.729179,71.756294,74.77906,80.525208,86.544189,49.230362,60.538158,108.707184,138.555878,92.870491,116.163246,75.532043,123.942451,145.81488,105.183022,113.075249,156.302048,131.425598,110.852127,148.886002,165.251984,131.675659,102.792419,83.336266,162.426407,141.516968,98.372032,70.706032,159.048584,144.340973,171.801041,137.590363,72.65493,87.721169,104.174515,74.453949,54.257236,44.250931,58.210743,72.28054,46.536877,117.06752,2810.300049,1.265
1/22/2018,76.237473,75.472504,78.213554,86.655373,57.681175,71.974457,74.807411,80.758217,87.398979,49.230362,60.51899,109.231972,141.386307,94.975739,118.772324,77.208839,126.644989,148.972687,107.489212,114.406914,158.965012,134.062973,112.446503,150.546158,168.074112,132.461578,104.785118,85.239647,166.865921,143.197189,99.746422,71.912056,165.013367,145.674332,174.904999,139.140335,73.559532,89.906219,106.270973,75.988373,55.328293,44.983753,59.189636,73.460045,47.976742,119.742264,2872.870117,1.25
1/29/2018,75.407143,75.213844,77.297157,84.3601,57.642784,69.792824,74.542526,79.760857,85.257416,48.719418,59.992321,104.874313,136.033554,91.390099,114.289795,74.224686,121.855423,143.370789,103.398811,110.314705,152.893417,129.240921,107.921158,144.954193,162.311478,127.257065,100.94413,81.742287,161.597061,137.615463,93.034538,70.179588,156.999084,140.727356,167.945511,131.1306,71.150322,87.943542,103.74205,72.96714,53.054653,43.302029,56.896252,70.648087,45.416973,114.552879,2762.129883,1.26
2/5/2018,75.242226,75.374725,77.25489,82.959747,57.760944,68.980988,74.630257,79.465431,83.522751,48.734886,60.18362,102.437775,129.227066,86.737457,108.610626,70.340584,115.767464,136.292679,98.11261,105.046341,145.746979,122.824623,103.118927,137.77005,153.87468,121.304932,96.092331,77.748001,154.210922,131.084503,85.47541,66.341347,148.221085,133.065384,160.654099,126.095612,68.445724,82.500252,101.100327,69.202515,50.2267,41.019012,53.931637,66.798164,42.951321,108.949074,2619.550049,1.39
2/12/2018,75.317879,75.240417,77.226486,83.526009,57.636024,69.446739,74.421722,79.465431,84.140549,48.687485,60.020611,103.618553,134.887894,90.563385,113.995544,73.211037,120.797485,142.891769,102.079636,109.78981,152.021912,128.56189,107.281487,144.022171,161.75885,126.202744,100.077721,80.710907,160.348145,135.745422,87.697021,69.528709,154.688568,139.181442,170.18074,131.60231,69.498016,86.241898,104.108711,72.242805,52.472149,42.644371,56.06654,69.836578,45.454624,113.460373,2732.219971,1.33
2/19/2018,75.251686,75.259613,77.245445,83.117538,57.674461,69.095047,74.421722,79.400017,83.891571,48.706459,60.08773,102.728279,135.609924,91.092117,115.329521,73.296303,121.451477,144.397308,102.136589,110.071693,152.496384,129.073639,107.481987,144.488174,162.696289,126.356102,100.019966,80.748413,161.821503,132.736221,88.666618,69.653145,154.572556,139.770844,173.265167,132.747925,69.174957,84.956009,104.531769,72.519188,52.556709,42.653767,55.870762,70.081917,45.784004,114.355087,2747.300049,1.35
2/26/2018,75.053116,75.096519,76.951897,82.709122,57.607193,69.228119,74.241653,78.960754,82.80352,48.668533,60.020611,103.646683,133.08757,89.227196,112.867561,71.742661,119.085548,141.62085,100.077141,108.846954,149.949646,127.754951,105.152481,142.711578,161.304977,124.381638,98.046516,79.070061,157.508835,131.350296,86.284981,68.255676,151.904327,135.384277,172.279312,128.512009,67.744186,84.433922,101.504593,70.822731,51.081665,41.469982,54.127422,68.421173,44.494713,111.652092,2691.25,1.37
3/5/2018,75.161713,75.202072,77.056747,82.85788,57.670639,69.15905,74.36676,79.088295,83.006836,48.750095,60.059929,103.037544,137.958984,92.409073,117.516815,74.016281,123.375008,147.516022,103.218491,113.250206,155.904999,133.521729,108.761299,148.420013,168.518158,128.828995,101.425446,81.47039,162.309311,133.581085,88.130058,71.232468,157.579147,141.490692,179.902527,133.229294,69.765701,86.560951,102.557503,72.909966,52.227882,42.37191,55.441917,69.808281,45.576965,113.676987,2786.570068,1.5
