,Year,Week,perc_death,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,winter
0,2013,1,10.44449156,8.000910000000001,8.36156,42453,4126,308,1
1,2013,2,11.05025084,8.07448,8.43492,60795,6065,653,1
2,2013,3,11.10566522,8.13694,8.49718,59168,5938,633,1
3,2013,4,10.62711747,8.18735,8.54739,57852,5646,502,1
4,2013,5,10.0729383,8.22494,8.584769999999999,56349,5284,392,1
5,2013,6,9.495762102999999,8.24912,8.60875,55688,5020,268,1
6,2013,7,9.360185219,8.25951,8.61893,54422,4885,209,1
7,2013,8,8.877543387000001,8.25591,8.61512,53472,4580,167,1
8,2013,9,8.732118287999999,8.23833,8.597339999999999,53057,4485,148,0
9,2013,10,8.474735165,8.20699,8.5658,53335,4417,103,0
10,2013,11,8.510156736,8.16231,8.52091,53019,4403,109,0
11,2013,12,8.194895235,8.10488,8.463280000000001,52069,4184,83,0
12,2013,13,8.176780646000001,8.03551,8.3937,51793,4179,56,0
13,2013,14,7.989479836,7.95515,8.313130000000001,51330,4051,50,0
14,2013,15,7.810748628,7.86492,8.2227,50853,3937,35,0
15,2013,16,7.767617433,7.766089999999999,8.123660000000001,49539,3826,22,0
16,2013,17,7.470063905,7.66003,8.0174,48353,3585,27,0
17,2013,18,7.265133972999999,7.54824,7.9054,48368,3504,10,0
18,2013,19,7.104395375,7.432289999999999,7.78925,47914,3393,11,0
19,2013,20,7.006315612000001,7.31381,7.67055,47343,3313,4,0
20,2013,21,6.8930519729999995,7.19445,7.55099,47294,3248,12,0
21,2013,22,6.53032319,7.075889999999999,7.43222,46598,3040,3,0
22,2013,23,7.131149286,6.959789999999999,7.315919999999999,46977,3342,8,0
23,2013,24,7.042465400000001,6.84777,7.203689999999999,46532,3271,6,0
24,2013,25,6.732114792999999,6.741389999999999,7.097110000000001,46449,3123,4,0
25,2013,26,6.590776793,6.64213,6.99765,46383,3055,2,0
26,2013,27,6.391783524,6.5513699999999995,6.906680000000001,46638,2976,5,0
27,2013,28,6.63578561,6.47035,6.82545,45767,3035,2,0
28,2013,29,6.607413831000001,6.40017,6.75507,46130,3041,7,0
29,2013,30,6.217919563,6.3417900000000005,6.69649,46173,2866,5,0
30,2013,31,6.362966495,6.29599,6.650469999999999,46142,2929,7,0
31,2013,32,6.474820144,6.26334,6.61762,46009,2976,3,0
32,2013,33,6.544034215,6.24426,6.598339999999999,45828,2996,3,0
33,2013,34,6.464795774,6.23895,6.59282,46003,2970,4,0
34,2013,35,6.261076291,6.2474099999999995,6.6010800000000005,46270,2891,6,0
35,2013,36,6.272350321,6.26946,6.62292,45581,2858,1,0
36,2013,37,6.473542912,6.30469,6.65795,46188,2983,7,0
37,2013,38,6.510578885,6.35254,6.70558,46555,3027,4,0
38,2013,39,6.546062503,6.41223,6.76507,46654,3043,11,0
39,2013,40,6.6179567089999995,6.36132,6.770110000000001,47492,3140,3,0
40,2013,41,6.652714358,6.45326,6.86185,47304,3135,12,0
41,2013,42,6.779126927,6.55439,6.962789999999999,47602,3216,11,0
42,2013,43,6.622544297,6.66322,7.07142,47746,3151,11,0
43,2013,44,6.73063124,6.778110000000001,7.18613,48777,3271,12,0
44,2013,45,7.041418909,6.89738,7.3052,48939,3429,17,0
45,2013,46,6.749782428,7.019239999999999,7.42687,49409,3320,15,0
46,2013,47,6.973039462999999,7.1419,7.54933,49591,3430,28,0
47,2013,48,6.9347508520000005,7.26355,7.670789999999999,49288,3385,33,1
48,2013,49,7.155789971,7.38238,7.78943,50812,3594,42,1
49,2013,50,7.568276501000001,7.49666,7.903510000000001,51848,3856,68,1
50,2013,51,7.6577605239999995,7.60468,8.01135,52548,3917,107,1
51,2013,52,7.985910613,7.70487,8.11134,51954,3942,207,1
52,2014,1,9.083098302,7.795730000000001,8.202010000000001,53539,4512,351,1
53,2014,2,9.781089892999999,7.87593,8.282010000000001,55822,4999,461,1
54,2014,3,10.03700447,7.94428,8.35017,54588,5005,474,1
55,2014,4,9.658576261,7.99977,8.40546,54097,4783,442,1
56,2014,5,9.27957308,8.04157,8.44707,53968,4623,385,1
57,2014,6,8.970566207000001,8.06905,8.47436,53408,4476,315,1
58,2014,7,8.648809303,8.08179,8.48691,53834,4385,271,1
59,2014,8,7.971826172999999,8.07959,8.48451,52673,3990,209,1
60,2014,9,7.793790502,8.06246,8.46718,51695,3868,161,0
61,2014,10,8.014981273,8.030610000000001,8.43515,52065,4048,125,0
62,2014,11,7.7915306929999995,7.98451,8.38885,51787,3942,93,0
63,2014,12,7.603260764,7.92477,8.32892,51399,3834,74,0
64,2014,13,7.589215532000001,7.85226,8.256219999999999,50888,3797,65,0
65,2014,14,7.622622229,7.768,8.17176,50888,3824,55,0
66,2014,15,7.498373775,7.67317,8.07674,50731,3730,74,0
67,2014,16,7.310380741,7.569139999999999,7.972510000000001,49929,3595,55,0
68,2014,17,7.116097366,7.45737,7.86055,49915,3498,54,0
69,2014,18,7.132073192999999,7.339460000000001,7.74245,49677,3490,53,0
70,2014,19,7.055434135,7.21708,7.61988,50330,3512,39,0
71,2014,20,6.777362899,7.09198,7.49458,47939,3222,27,0
72,2014,21,6.7190585910000005,6.96593,7.36833,48608,3242,24,0
73,2014,22,6.548904019,6.84072,7.24293,48176,3140,15,0
74,2014,23,6.779377302,6.71812,7.120139999999999,47792,3220,20,0
75,2014,24,6.766445787,6.599880000000001,7.001710000000001,47839,3222,15,0
76,2014,25,6.476542483999999,6.48767,6.889310000000001,47618,3077,7,0
77,2014,26,6.323086324,6.38307,6.784510000000001,47461,2998,3,0
78,2014,27,6.337092864,6.28754,6.688789999999999,47435,3000,6,0
79,2014,28,6.302529859,6.2024300000000006,6.60349,47473,2988,4,0
80,2014,29,6.246295826,6.12893,6.52979,47244,2944,7,0
81,2014,30,6.336012214,6.06804,6.46871,47159,2985,3,0
82,2014,31,6.230582628,6.02061,6.42108,46994,2923,5,0
83,2014,32,6.0389141429999995,5.98727,6.38755,47078,2842,1,0
84,2014,33,6.147330596000001,5.96845,6.36854,46752,2869,5,0
85,2014,34,6.163153619,5.96439,6.36428,46778,2877,6,0
86,2014,35,6.0647622310000004,5.97507,6.37477,46663,2825,5,0
87,2014,36,6.249868346,6.00031,6.3998099999999996,47473,2966,1,0
88,2014,37,6.1420876710000005,6.03967,6.43899,46971,2881,4,0
89,2014,38,6.231022004,6.09255,6.491680000000001,48082,2990,6,0
90,2014,39,6.24315896,6.15813,6.557060000000001,48421,3017,6,0
91,2014,40,6.370177397000001,6.23694,6.65537,48366,3075,6,0
92,2014,41,6.381685575,6.3339300000000005,6.75197,49360,3142,8,0
93,2014,42,6.2918883789999995,6.44181,6.85947,49238,3085,13,0
94,2014,43,6.547655438,6.55892,6.976210000000001,49071,3202,11,0
95,2014,44,6.470504214,6.683489999999999,7.100389999999999,49007,3154,17,0
96,2014,45,6.305706282,6.81363,7.23015,51049,3208,11,0
97,2014,46,6.4451038579999995,6.947360000000001,7.3635,50550,3240,18,0
98,2014,47,6.493061504,7.08268,7.49843,52533,3380,31,0
99,2014,48,6.68067713,7.21754,7.6329199999999995,51866,3419,46,1
100,2014,49,7.020171381,7.349939999999999,7.764939999999999,52748,3620,83,1
101,2014,50,7.383202002000001,7.47788,7.8925,53554,3785,169,1
102,2014,51,8.07366995,7.59945,8.01368,54622,4098,312,1
103,2014,52,8.524309274,7.71283,8.12668,56028,4264,512,1
104,2014,53,10.1910828,7.8163100000000005,8.22978,59346,5034,1014,1
105,2015,1,10.81133603,7.908360000000001,8.321439999999999,61750,5576,1100,1
106,2015,2,10.74681537,7.98757,8.40028,61153,5589,983,1
107,2015,3,10.05235066,8.052769999999999,8.4651,58643,5184,711,1
108,2015,4,9.500453816,8.102960000000001,8.5149,57292,4857,586,1
109,2015,5,9.10707437,8.137360000000001,8.548919999999999,57362,4740,484,1
110,2015,6,8.80847308,8.155439999999999,8.56662,56650,4585,405,1
111,2015,7,8.445534596,8.156889999999999,8.567689999999999,56669,4501,285,1
112,2015,8,8.48601051,8.141639999999999,8.55206,56328,4559,221,1
113,2015,9,8.382004177,8.10989,8.51993,56502,4546,190,0
114,2015,10,8.262757482,8.06204,8.4717,55732,4446,159,0
115,2015,11,7.9607014970000005,7.99875,8.40802,54455,4196,139,0
116,2015,12,7.533707865,7.92088,8.32977,53400,3902,121,0
117,2015,13,7.410331604,7.82952,8.23803,53196,3843,99,0
118,2015,14,7.453674787000001,7.72594,8.13407,52833,3838,100,0
119,2015,15,7.565870359,7.61159,8.01934,52869,3925,75,0
120,2015,16,7.497820401,7.48808,7.89545,51615,3807,63,0
121,2015,17,7.19156128,7.35712,7.7641100000000005,51477,3652,50,0
122,2015,18,6.9229727379999995,7.2205699999999995,7.62718,51683,3550,28,0
123,2015,19,6.896075725,7.08034,7.486560000000001,50710,3475,22,0
124,2015,20,6.588911837,6.93838,7.34422,49386,3240,14,0
125,2015,21,6.803499057000001,6.79668,7.202139999999999,49842,3373,18,0
126,2015,22,6.512647692000001,6.65722,7.0623,49258,3198,10,0
127,2015,23,6.475253489,6.52194,6.926639999999999,49805,3214,11,0
128,2015,24,6.4261280339999995,6.39271,6.79703,49112,3150,6,0
129,2015,25,6.52563789,6.27133,6.675269999999999,49068,3198,4,0
130,2015,26,6.332507412999999,6.15946,6.56301,49238,3112,6,0
131,2015,27,6.308993585,6.0586199999999995,6.4618,48946,3081,7,0
132,2015,28,6.170057254,5.9701900000000006,6.37298,49254,3032,7,0
133,2015,29,6.191670435,5.89534,6.29775,48646,3009,3,0
134,2015,30,5.9981929439999995,5.8350599999999995,6.23709,48698,2917,4,0
135,2015,31,6.110156687000001,5.79012,6.19177,48313,2948,4,0
136,2015,32,5.914580999,5.76107,6.16234,48186,2842,8,0
137,2015,33,6.068922822999999,5.74822,6.14911,48460,2935,6,0
138,2015,34,6.000206122000001,5.75166,6.15217,48515,2906,5,0
139,2015,35,6.038478894,5.77123,6.17135,48754,2941,3,0
140,2015,36,6.048312742,5.80655,6.20629,48807,2949,3,0
141,2015,37,6.165376682000001,5.856990000000001,6.25636,48967,3013,6,0
142,2015,38,6.205245755,5.92174,6.32072,49297,3051,8,0
143,2015,39,6.272119142,5.99975,6.39835,48883,3060,6,0
144,2015,40,6.302356532999999,6.08979,6.48801,51092,3206,14,0
145,2015,41,6.299716192999999,6.1904699999999995,6.588310000000001,50034,3145,7,0
146,2015,42,6.368188513,6.30023,6.69769,50925,3227,16,0
147,2015,43,6.3135165120000005,6.4174,6.814489999999999,50479,3170,17,0
148,2015,44,6.595145972999999,6.5402,6.9369,51174,3355,20,0
149,2015,45,6.388680881,6.666760000000001,7.063089999999999,50746,3228,14,0
150,2015,46,6.504535804,6.79518,7.19113,51810,3357,13,0
151,2015,47,6.507933425,6.92352,7.319089999999999,51491,3337,14,0
152,2015,48,6.689971765,7.04985,7.44505,52063,3461,22,1
153,2015,49,6.617920667000001,7.172280000000001,7.5671,53748,3537,20,1
154,2015,50,6.71169189,7.28896,7.68341,52267,3482,26,1
155,2015,51,6.672430643999999,7.3981699999999995,7.79224,53204,3535,15,1
156,2015,52,7.519011407000001,7.498239999999999,7.89195,52600,3924,31,1
157,2016,1,7.6553738110000005,7.587689999999999,7.9810300000000005,55817,4241,32,1
158,2016,2,7.761398204,7.66517,8.05814,55557,4282,30,1
159,2016,3,7.396337156,7.72951,8.122110000000001,55203,4047,36,1
160,2016,4,7.485621855,7.779739999999999,8.17196,55640,4115,50,1
161,2016,5,7.517282674,7.8150699999999995,8.20693,55113,4082,61,1
162,2016,6,7.361907854,7.834969999999999,8.226460000000001,55434,3989,92,1
163,2016,7,7.479697963,7.8391,8.23023,56152,4051,149,1
164,2016,8,8.004711852,7.8273600000000005,8.21813,55180,4230,187,1
165,2016,9,8.062756042,7.79988,8.19029,55899,4250,257,0
166,2016,10,8.147937209,7.75703,8.14707,56186,4284,294,0
167,2016,11,8.254224242000001,7.69937,8.08906,54566,4153,351,0
168,2016,12,8.19127578,7.62771,8.01704,54790,4193,295,0
169,2016,13,7.749234907000001,7.54303,7.932010000000001,53915,3896,282,0
170,2016,14,7.758349524,7.44652,7.835139999999999,54045,3943,250,0
171,2016,15,7.642096994,7.33953,7.7278,53467,3890,196,0
172,2016,16,7.212361897999999,7.22355,7.61148,53131,3684,148,0
173,2016,17,6.907436817000001,7.100219999999999,7.4878,51003,3396,127,0
174,2016,18,6.814057407999999,6.97127,7.3585,51247,3401,91,0
175,2016,19,6.498754389,6.8385,7.22538,50979,3239,74,0
176,2016,20,6.58392974,6.70377,7.090319999999999,50441,3287,34,0
177,2016,21,6.394784297,6.568980000000001,6.95518,50463,3197,30,0
178,2016,22,6.120189986000001,6.436,6.82187,49688,3024,17,0
179,2016,23,6.391293891,6.3067,6.69223,49896,3172,17,0
180,2016,24,5.888365567999999,6.182869999999999,6.56807,49895,2920,18,0
181,2016,25,5.820329825,6.06623,6.4511,49602,2875,12,0
182,2016,26,5.879513225,5.9583900000000005,6.34293,49715,2913,10,0
183,2016,27,5.882826656000001,5.8608400000000005,6.24505,49670,2912,10,0
184,2016,28,5.90796396,5.77491,6.1588,49611,2925,6,0
185,2016,29,5.626852942,5.70175,6.085319999999999,49246,2766,5,0
186,2016,30,5.652287687,5.64235,6.0256,49679,2803,5,0
187,2016,31,5.750146533,5.5974900000000005,5.98042,49477,2843,2,0
188,2016,32,5.690435482000001,5.56772,5.95033,49715,2827,2,0
189,2016,33,5.762085517999999,5.55339,5.9357,49791,2864,5,0
190,2016,34,5.7242731,5.55464,5.936640000000001,49491,2827,6,0
191,2016,35,5.79914849,5.571359999999999,5.95305,49559,2869,5,0
192,2016,36,5.766233766,5.603219999999999,5.9846,50050,2881,5,0
193,2016,37,6.2139191789999995,5.64968,6.0307699999999995,49888,3092,8,0
194,2016,38,6.0666225460000005,5.70999,6.0907800000000005,49863,3016,9,0
195,2016,39,5.9650380279999995,5.7832099999999995,6.1637,50226,2985,11,0
196,2016,40,5.9172749389999995,5.86819,6.2483900000000006,51375,3022,18,0
197,2016,41,6.146699172999999,5.96364,6.34355,52093,3191,11,0
198,2016,42,6.190920761,6.06811,6.44773,51414,3176,7,0
199,2016,43,6.071773104,6.18001,6.55934,51830,3130,17,0
200,2016,44,6.022349393,6.29766,6.676710000000001,51724,3099,16,0
201,2016,45,6.146081326,6.41931,6.79807,52505,3208,19,0
202,2016,46,5.985625515,6.543130000000001,6.92161,53428,3191,7,0
203,2016,47,6.170004517000001,6.667269999999999,7.04548,53128,3256,22,0
204,2016,48,6.502143564,6.7899,7.16782,54582,3515,34,1
205,2016,49,6.61794044,6.90918,7.28683,55138,3616,33,1
206,2016,50,6.833973386,7.023339999999999,7.400710000000001,55985,3780,46,1
207,2016,51,6.7525873160000005,7.1307,7.507789999999999,56719,3738,92,1
208,2016,52,7.398791751,7.22964,7.60647,57604,4105,157,1
209,2017,1,8.110369292,7.31872,7.69527,59763,4558,289,1
210,2017,2,7.991144638,7.39659,7.772869999999999,60980,4505,368,1
211,2017,3,8.422579394,7.462110000000001,7.83812,59293,4621,373,1
212,2017,4,8.258824746,7.51428,7.89002,58047,4427,367,1
213,2017,5,8.219811062,7.55233,7.9278,58432,4452,351,1
214,2017,6,8.242149123999999,7.57567,7.950880000000001,59038,4447,419,1
215,2017,7,8.488517246,7.583939999999999,7.958880000000001,58479,4419,545,1
216,2017,8,8.533488882999999,7.5769899999999994,7.95167,58288,4369,605,1
217,2017,9,8.372921615,7.554889999999999,7.9293,57256,4260,534,0
218,2017,10,8.168484785,7.517939999999999,7.89208,57477,4223,472,0
219,2017,11,7.900310647,7.466639999999999,7.84052,56656,4100,376,0
220,2017,12,7.73073889,7.4017,7.77532,57045,4091,319,0
221,2017,13,7.575893578,7.324039999999999,7.6973899999999995,55703,3887,333,0
222,2017,14,7.409354605,7.23475,7.60783,55160,3821,266,0
223,2017,15,7.261989391,7.13508,7.5079,54861,3776,208,0
224,2017,16,6.87959299,7.02645,7.3990100000000005,53070,3489,162,0
225,2017,17,6.657284924,6.9104,7.28269,53295,3458,90,0
226,2017,18,6.401807927,6.78855,7.16058,52657,3308,63,0
227,2017,19,6.282581513999999,6.66265,7.03441,51985,3216,50,0
228,2017,20,6.200457317000001,6.53446,6.90595,52480,3201,53,0
229,2017,21,6.111198305,6.4057900000000005,6.777019999999999,50972,3091,24,0
230,2017,22,5.934914937,6.2784699999999996,6.649430000000001,51256,3019,23,0
231,2017,23,6.114590221,6.1542699999999995,6.52496,51418,3127,17,0
232,2017,24,6.079099159,6.03495,6.40538,50797,3069,19,0
233,2017,25,5.854087313,5.92218,6.292330000000001,51195,2982,15,0
234,2017,26,5.855740166,5.8175300000000005,6.18741,50617,2954,10,0
235,2017,27,5.577032516,5.72244,6.09206,50959,2824,18,0
236,2017,28,6.10529686,5.63825,6.00759,49973,3047,4,0
237,2017,29,5.515989387,5.56609,5.93515,50127,2755,10,0
238,2017,30,5.785827155,5.50694,5.87573,49362,2853,3,0
239,2017,31,5.388623795,5.46159,5.8301,50087,2695,4,0
240,2017,32,5.430260565,5.430619999999999,5.79885,50237,2722,6,0
241,2017,33,5.3800936539999995,5.4144,5.78236,50185,2689,11,0
242,2017,34,5.579901852000001,5.41311,5.78078,49517,2756,7,0
243,2017,35,5.356861819,5.42667,5.79406,50832,2716,7,0
244,2017,36,5.565036584,5.45482,5.82193,50979,2825,12,0
245,2017,37,5.85754633,5.49707,5.8639,51694,3021,7,0
246,2017,38,5.7604091429999995,5.55275,5.9192800000000005,51229,2935,16,0
247,2017,39,5.662031086,5.62096,5.98721,51342,2888,19,0
248,2017,40,5.830310707000001,5.70065,6.06661,52107,3022,16,0
249,2017,41,5.85338426,5.79059,6.15625,51577,3001,18,0
250,2017,42,6.0970472220000005,5.8894,6.25477,52222,3156,28,0
251,2017,43,6.284376606,5.99559,6.36067,52543,3279,23,0
252,2017,44,6.05772635,6.107559999999999,6.47234,53667,3215,36,0
253,2017,45,6.057475582,6.2236,6.588089999999999,53240,3180,45,0
254,2017,46,6.2584856879999995,6.34199,6.706189999999999,53767,3315,50,0
255,2017,47,6.005173687999999,6.46095,6.82485,54120,3202,48,0
