,year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag,excl_hash,hr_bucket,hr1,hr2,hr3,hr4
0,2017,2,8,20,2/9/2017 1:05,iPhone,81919.0,17825,Picture/link,Yes,No,0,3,0,0,0,1
1,2017,2,8,17,2/8/2017 22:07,iPhone,55817.0,11696,Picture/link,No,No,1,2,0,0,1,0
2,2017,2,8,16,2/8/2017 21:46,iPhone,51699.0,13953,Picture/link,No,No,1,2,0,0,1,0
3,2017,2,8,14,2/8/2017 19:39,iPhone,82429.0,20705,Picture/link,No,No,1,2,0,0,1,0
4,2017,2,8,14,2/8/2017 19:22,iPhone,70357.0,16563,Picture/link,Yes,No,0,2,0,0,1,0
5,2017,2,8,12,2/8/2017 17:41,Android,67233.0,14217,No picture/link,Yes,No,0,2,0,0,1,0
6,2017,2,8,10,2/8/2017 15:54,iPhone,49918.0,15607,Picture/link,No,No,1,1,0,1,0,0
7,2017,2,8,10,2/8/2017 15:51,iPhone,112483.0,22374,No picture/link,Yes,No,0,1,0,1,0,0
8,2017,2,8,10,2/8/2017 15:23,iPhone,74040.0,13689,Picture/link,No,No,1,1,0,1,0,0
9,2017,2,8,8,2/8/2017 13:04,Android,64248.0,9952,No picture/link,No,No,1,1,0,1,0,0
10,2017,2,8,7,2/8/2017 12:03,Android,100000.0,20167,No picture/link,Yes,No,0,1,0,1,0,0
11,2017,2,7,20,2/8/2017 1:04,Android,146828.0,34214,No picture/link,Yes,No,0,3,0,0,0,1
12,2017,2,7,11,2/7/2017 16:25,iPhone,100975.0,17460,Picture/link,No,No,1,1,0,1,0,0
13,2017,2,7,7,2/7/2017 12:11,iPhone,180664.0,49044,No picture/link,Yes,Yes,1,1,0,1,0,0
14,2017,2,6,21,2/7/2017 2:49,Android,140939.0,32018,No picture/link,Yes,No,0,3,0,0,0,1
15,2017,2,6,21,2/7/2017 2:33,Android,88637.0,16103,No picture/link,Yes,No,0,3,0,0,0,1
16,2017,2,6,18,2/6/2017 23:33,iPhone,50648.0,7814,Picture/link,Yes,No,0,3,0,0,0,1
17,2017,2,6,11,2/6/2017 16:32,Android,94032.0,19099,No picture/link,Yes,No,0,1,0,1,0,0
18,2017,2,6,7,2/6/2017 12:07,Android,123175.0,23876,No picture/link,Yes,No,0,1,0,1,0,0
19,2017,2,6,7,2/6/2017 12:01,Android,158747.0,35674,No picture/link,No,No,1,1,0,1,0,0
20,2017,2,5,22,2/6/2017 3:36,Android,268502.0,74686,No picture/link,Yes,No,0,3,0,0,0,1
21,2017,2,5,17,2/5/2017 22:49,Android,185642.0,37220,No picture/link,Yes,Yes,1,2,0,0,1,0
22,2017,2,5,15,2/5/2017 20:42,Android,145364.0,28252,No picture/link,Yes,No,0,2,0,0,1,0
23,2017,2,5,15,2/5/2017 20:39,Android,136926.0,29154,No picture/link,Yes,No,0,2,0,0,1,0
24,2017,2,4,19,2/5/2017 0:48,Android,129615.0,28371,No picture/link,Yes,No,0,3,0,0,0,1
25,2017,2,4,19,2/5/2017 0:34,Android,70579.0,11456,No picture/link,Yes,No,0,3,0,0,0,1
26,2017,2,4,18,2/4/2017 23:37,Android,97193.0,17993,Picture/link,No,No,1,3,0,0,0,1
27,2017,2,4,16,2/4/2017 21:44,Android,137116.0,29626,No picture/link,No,No,1,2,0,0,1,0
28,2017,2,4,15,2/4/2017 20:44,Android,148355.0,32996,No picture/link,No,No,1,2,0,0,1,0
29,2017,2,4,9,2/4/2017 14:26,Android,255463.0,66243,No picture/link,Yes,No,0,1,0,1,0,0
30,2017,2,4,8,2/4/2017 13:39,Android,103122.0,17619,No picture/link,Yes,No,0,1,0,1,0,0
31,2017,2,4,8,2/4/2017 13:12,Android,159987.0,33761,No picture/link,Yes,No,0,1,0,1,0,0
32,2017,2,4,8,2/4/2017 13:06,Android,140089.0,28514,No picture/link,Yes,No,0,1,0,1,0,0
33,2017,2,4,7,2/4/2017 12:59,Android,175811.0,38143,No picture/link,Yes,No,0,1,0,1,0,0
34,2017,2,3,22,2/4/2017 3:07,Android,155013.0,27176,No picture/link,Yes,No,0,3,0,0,0,1
35,2017,2,3,18,2/3/2017 23:08,Android,205799.0,45000,No picture/link,Yes,No,0,3,0,0,0,1
36,2017,2,3,7,2/3/2017 12:51,Android,165875.0,42394,No picture/link,No,No,1,1,0,1,0,0
37,2017,2,3,6,2/3/2017 11:48,Android,174612.0,43340,No picture/link,Yes,No,0,1,0,1,0,0
38,2017,2,3,6,2/3/2017 11:41,Android,126517.0,19545,No picture/link,Yes,No,0,1,0,1,0,0
39,2017,2,3,6,2/3/2017 11:34,Android,150108.0,33159,No picture/link,Yes,No,0,1,0,1,0,0
40,2017,2,3,6,2/3/2017 11:28,Android,174399.0,64835,No picture/link,Yes,No,0,1,0,1,0,0
41,2017,2,3,6,2/3/2017 11:24,Android,117204.0,23547,No picture/link,Yes,No,0,1,0,1,0,0
42,2017,2,2,12,2/2/2017 17:29,iPhone,126599.0,26543,Picture/link,Yes,No,0,2,0,0,1,0
43,2017,2,2,6,2/2/2017 11:39,Android,98320.0,24545,No picture/link,No,No,1,1,0,1,0,0
44,2017,2,2,6,2/2/2017 11:34,Android,122466.0,39996,No picture/link,Yes,No,0,1,0,1,0,0
45,2017,2,2,6,2/2/2017 11:25,Android,124814.0,16933,No picture/link,Yes,No,0,1,0,1,0,0
46,2017,2,2,6,2/2/2017 11:18,Android,116318.0,16160,No picture/link,Yes,No,0,1,0,1,0,0
47,2017,2,2,6,2/2/2017 11:13,Android,214925.0,59610,No picture/link,No,No,1,1,0,1,0,0
48,2017,2,1,22,2/2/2017 3:55,Android,154204.0,38046,No picture/link,Yes,No,0,3,0,0,0,1
49,2017,2,1,22,2/2/2017 3:06,Android,94571.0,21338,No picture/link,Yes,No,0,3,0,0,0,1
50,2017,2,1,7,2/1/2017 12:50,Android,255709.0,61537,No picture/link,Yes,No,0,1,0,1,0,0
51,2017,1,31,22,2/1/2017 3:45,Android,254624.0,34888,No picture/link,No,No,1,3,0,0,0,1
52,2017,1,31,20,2/1/2017 1:01,iPhone,53342.0,6645,Picture/link,No,No,1,3,0,0,0,1
53,2017,1,31,19,2/1/2017 0:31,Android,104361.0,16732,No picture/link,Yes,No,0,3,0,0,0,1
54,2017,1,31,6,1/31/2017 11:27,Android,181999.0,39574,No picture/link,Yes,No,0,1,0,1,0,0
55,2017,1,31,6,1/31/2017 11:21,Android,155069.0,31741,No picture/link,Yes,No,0,1,0,1,0,0
56,2017,1,30,19,1/31/2017 0:45,Android,129246.0,28368,No picture/link,No,No,1,3,0,0,0,1
57,2017,1,30,16,1/30/2017 21:07,iPhone,179353.0,35174,Picture/link,No,No,1,2,0,0,1,0
58,2017,1,30,9,1/30/2017 14:23,iPhone,166027.0,33269,No picture/link,No,No,1,1,0,1,0,0
59,2017,1,30,8,1/30/2017 13:43,Android,129066.0,25502,No picture/link,No,No,1,1,0,1,0,0
60,2017,1,30,8,1/30/2017 13:31,Android,174399.0,36082,No picture/link,Yes,No,0,1,0,1,0,0
61,2017,1,30,7,1/30/2017 12:27,Android,176095.0,35795,No picture/link,Yes,No,0,1,0,1,0,0
62,2017,1,30,7,1/30/2017 12:20,Android,136145.0,24507,No picture/link,Yes,No,0,1,0,1,0,0
63,2017,1,30,7,1/30/2017 12:16,Android,132906.0,31579,No picture/link,No,No,1,1,0,1,0,0
64,2017,1,29,18,1/29/2017 23:39,iPhone,68474.0,11231,No picture/link,Yes,No,0,3,0,0,0,1
