"Date","GOOG","SBUX","Mkt_Minus_Rf","SMB","HML","RF","Mom"
2004-08-20,0.0794298542164276,0.00873460879509591,0.0079,0.009,-0.0028,5e-05,-2e-04
2004-08-23,0.0100637094258553,-0.00111022546418094,-0.0032,-0.0043,-0.0029,5e-05,-0.0029
2004-08-24,-0.0414076808029106,0.0148919471492461,3e-04,0.0017,0.0014,5e-05,-8e-04
2004-08-25,0.0107753004530526,0.00832264314961884,0.0084,8e-04,-0.0048,5e-05,-0.0017
2004-08-26,0.0180188146354672,-0.0645089836956066,-5e-04,-0.0043,0.0037,5e-05,0.0048
2004-08-27,-0.0163098723382138,-0.0116089595465859,0.0033,0.0046,-0.0027,5e-05,0.0017
2004-08-30,-0.0390014305705769,0.00446315080902426,-0.0086,-0.0034,0.0037,5e-05,0.0024
2004-08-31,0.00352908881402114,0.0112249294647522,0.0048,7e-04,0.0014,5e-05,0.0071
2004-09-01,-0.0207091982952772,-0.000230671638922098,0.003,0.0055,-0.004,5e-05,0.004
2004-09-02,0.0125685902988957,0.0270641142958512,0.0109,0.0023,-0.0026,5e-05,-4e-04
2004-09-03,-0.0147768829114763,-0.000900940333676159,-0.0045,-0.0013,0.0038,5e-05,0.0096
2004-09-07,0.015698458244273,0.000450983756638657,0.0073,0.0039,-4e-04,5e-05,0.0019
2004-09-08,0.00708797636885361,-0.00135191207119245,-0.0048,-0.004,3e-04,5e-05,0.0019
2004-09-09,9.77648851452351e-05,0.00676935590200878,0.0034,0.0115,-0.0027,5e-05,-0.0023
2004-09-10,0.0295181062607088,0.00537823920925429,0.0053,8e-04,-0.0058,5e-05,-0.0106
2004-09-13,0.0206019882392303,0.00378999877361785,0.003,0.004,-0.0048,5e-05,-5e-04
2004-09-14,0.0371162558544664,0.0208750302396778,0.0019,-0.0048,-0.0011,5e-05,0.002
2004-09-15,0.00457438743133265,-0.0119645830932887,-0.0067,0.0024,0.0039,5e-05,0.0059
2004-09-16,0.0175893078729243,0.00440322357032885,0.0036,0.0052,0.0027,5e-05,-3e-04
2004-09-17,0.0308852897293665,0.00942573642122313,0.0035,-0.0053,3e-04,5e-05,0.0014
2004-09-20,0.0159162914450253,-0.00977236129591741,-0.0051,0.0014,8e-04,5e-05,5e-04
2004-09-21,-0.0127346181557129,0.00285115925032731,0.0066,0.0038,-5e-04,5e-05,0.0042
2004-09-22,0.00458250597640775,-0.0209926594125321,-0.0137,-0.0043,0.0046,5e-05,0.0059
2004-09-23,0.0206115687519797,-0.00223373591294096,-0.0037,0.0033,2e-04,5e-05,-7e-04
2004-09-24,-0.00819403176377187,0.00828316569199772,0.0014,-8e-04,0.0037,5e-05,0.0089
2004-09-27,-0.0131018508722742,-0.014653855114625,-0.0071,-0.0057,0.0038,5e-05,0.0044
2004-09-28,0.0727211261331953,0.0045065166755498,0.0063,0.0063,-0.0026,5e-05,0.0071
2004-09-29,0.0332650041844735,0.0206373177427639,0.005,0.0056,-0.0066,5e-05,-0.0057
2004-09-30,-0.0112908046094252,-0.000879263759237414,6e-04,0.0025,0.0059,5e-05,0.0098
2004-10-01,0.0229938271652748,0.0387151556631238,0.0148,0.0045,-0.001,5e-05,-0.0052
2004-10-04,0.0187056332760964,-0.00359987310111909,0.0038,0.0033,-0.0032,5e-05,-0.0024
2004-10-05,0.0245076148717296,0.00807686552703779,-0.0011,-0.0014,7e-04,5e-05,-3e-04
2004-10-06,-0.00932273750804891,0.0115957832383413,0.0069,0.0016,0.0012,5e-05,0.004
2004-10-07,0.0129121060731336,-0.0185495550267032,-0.0105,-0.0051,0.0038,5e-05,2e-04
2004-10-08,-0.0080662467777225,0.00637095562817147,-0.008,-0.0036,0.0061,5e-05,0.0054
2004-10-11,-0.0179336936138246,0.00886261157919921,0.0023,0.0016,-0.0044,5e-05,-0.0036
2004-10-12,0.0158214657251272,0.00481076834208172,-0.0023,-2e-04,0.0027,5e-05,4e-04
2004-10-13,0.025473011233988,-0.0081184378340482,-0.0075,-0.0043,-0.003,5e-05,-0.0097
2004-10-14,0.00780702444273085,0.00293821814807793,-0.0092,0.0011,-0.0033,5e-05,0.0114
2004-10-15,0.0148590926249093,0.0351537290411963,0.0045,0.0028,0,5e-05,0.0023
2004-10-18,0.0350426762616021,0.0167777561135303,0.0051,-9e-04,-0.0077,5e-05,-0.006
2004-10-19,-0.00817909485485724,0.000198673772079161,-0.0092,0.001,-0.0045,5e-05,-0.0047
2004-10-20,-0.0503582534422615,-0.000994118322613757,0.0011,0.0053,-4e-04,5e-05,0.0041
2004-10-21,0.0632784773388746,0.00994861169698735,0.0037,0.0058,5e-04,5e-05,6e-04
2004-10-22,0.154304478847352,-0.0122144057807571,-0.01,-0.0044,0.0069,5e-05,0.0044
2004-10-25,0.086817814866071,-0.00957275840733529,-3e-04,0.0074,0.0054,5e-05,0.0019
2004-10-26,-0.0298825931602129,0.0171164125150374,0.0136,-0.0056,0.0068,5e-05,0.0017
2004-10-27,0.0229373263006174,0.0253413863069776,0.0139,0.0017,-0.0109,5e-05,-0.015
2004-10-28,0.0394149483646908,0.0204667796515703,0.0013,-0.0038,-0.0012,5e-05,-0.0107
2004-10-29,-0.0137610093605106,0.000567894485006493,0.0018,-0.0048,0.0024,5e-05,0.0023
