,ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date,From.Grade_surrogate,To.Grade_surrogate,Special.Pay_surrogate,Early.RPL_surrogate,Latest.RPL_surrogate,Initial.System.Date_surrogate,Poverty.Code_surrogate,CRM.Segment_surrogate,MDR.Low.Grade_surrogate,MDR.High.Grade_surrogate,Total.School.Enrollment_surrogate,Income.Level_surrogate,FirstMeeting_surrogate,LastMeeting_surrogate,DifferenceTraveltoFirstMeeting_surrogate,DifferenceTraveltoLastMeeting_surrogate,FPP.to.School.enrollment_surrogate,SchoolSizeIndicator_surrogate,NPS 2011_surrogate,NPS 2010_surrogate,NPS 2009_surrogate,NPS 2008_surrogate,>= 3 FPP Date_surrogate,>= 10 FPP Date_surrogate,>= 20 FPP Date_surrogate,>= 35 FPP Date_surrogate
0,1,HS,4.0,4.0,CA,0,1,A,2011-01-14,2011-01-14,2010-08-30,FIXED_NA,424,25,3,0.424,2010-03-29,2010-08-12,3,4,2010-03-26,B,Southern California,4.0,PUBLIC,1,K,5.0,927.0,Q,0.17,1,CA History,EXISTING,59,63,424,1,2010-08-12,2010-08-12,155.0,155.0,Elementary,Elementary,Elementary->Elementary,Other.DepartureMonth,K,Elementary,K->Elementary,H,1,0.06364617,0.936507937,4,L,1,10.0,10.0,10.0,10.0,2010-06-06,2010-06-18,2010-08-17,2010-08-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,HC,8.0,8.0,AZ,0,7,A,2011-01-14,2011-01-21,2009-11-15,CP,2350,9,9,0.409,2009-10-20,2010-08-10,11,3,2009-10-02,C,Other,10.0,PUBLIC,1,7,8.0,850.0,A,0.091,0,East Coast,EXISTING,22,25,2350,2,2009-11-17,2010-08-27,423.0,140.0,Middle,Middle,Middle->Middle,Other.DepartureMonth,Middle,Middle,Middle->Middle,H,1,0.025882352999999997,0.88,3,L,1,9.0,10.0,10.0,0.0,2009-12-15,2010-01-20,2010-05-31,1900-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,3,HD,8.0,8.0,FL,0,3,A,2011-01-15,2011-01-17,2010-10-15,FIXED_NA,1181,17,6,0.708,2010-04-29,2010-08-16,6,3,2010-01-28,C,Other,10.0,PUBLIC,1,6,8.0,955.0,O,0.042,0,East Coast,EXISTING,24,27,1181,1,2010-09-13,2010-09-13,124.0,124.0,Middle,Middle,Middle->Middle,Other.DepartureMonth,Middle,Middle,Middle->Middle,H,1,0.02513089,0.8888888890000001,3,L,1,0.0,10.0,10.0,0.0,2010-06-09,2010-06-09,2010-10-26,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,4,HN,9.0,12.0,VA,1,3,B,2011-01-15,2011-01-17,2011-01-07,FIXED_NA,376,0,0,0.0,1900-01-01,1900-01-01,1,0,2010-10-19,FIXED_NA,Other,7.0,CHD,0,FIXED_NA,0.0,0.0,FIXED_NA,0.0,0,East Coast,EXISTING,18,18,376,0,1900-01-01,1900-01-01,0.0,0.0,High,High,High->High,Other.DepartureMonth,Undefined,Undefined,Undefined->Undefined,H,0,0.0,1.0,0,FIXED_NA,0,10.0,0.0,10.0,0.0,2011-01-06,2011-01-06,1900-01-01,1900-01-01,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
4,5,HD,6.0,8.0,FL,0,6,Other.Travel.Type,2011-01-16,2011-01-21,2010-09-30,FIXED_NA,865,40,8,0.494,2010-03-29,2010-08-12,9,8,2010-03-23,D,Other,10.0,PUBLIC,1,6,8.0,720.0,C,0.38299999999999995,0,East Coast,EXISTING,81,89,865,1,2010-08-24,2010-08-24,145.0,145.0,Middle,Middle,Middle->Middle,Other.DepartureMonth,Middle,Middle,Middle->Middle,H,0,0.1125,0.91011236,8,M-L,0,10.0,0.0,10.0,0.0,2010-05-13,2010-05-24,2010-05-27,2010-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,6,HC,10.0,12.0,LA,0,4,A,2011-01-17,2011-01-20,2010-09-30,FIXED_NA,2025,9,4,0.9,2010-03-16,2010-10-06,3,1,2010-03-16,C,Other,8.0,PUBLIC,1,Other.MDR.Low.Grade,12.0,939.0,I,0.1,0,East Coast,NEW,10,11,2025,1,2010-10-18,2010-10-18,91.0,91.0,High,High,High->High,Other.DepartureMonth,High,High,High->High,H,0,0.010649627,0.9090909090000001,1,L,1,10.0,0.0,0.0,0.0,2010-08-19,2010-12-15,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
6,7,SG,11.0,12.0,MA,1,6,A,2011-01-18,2011-01-23,2010-10-15,FIXED_NA,1977,16,4,0.64,2010-02-25,2010-09-01,5,2,2010-02-25,FIXED_NA,Other,8.0,Catholic,1,9,12.0,225.0,G,0.08,0,Science,EXISTING,25,27,1977,1,2010-11-16,2010-11-16,63.0,63.0,High,High,High->High,Other.DepartureMonth,High,High,High->High,S,0,0.111111111,0.9259259259999999,2,S,0,0.0,0.0,9.0,0.0,2010-04-06,2010-04-06,2010-04-06,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
7,8,Other.Program.Code,9.0,9.0,Other.Group.State,0,8,A,2011-01-24,2011-01-31,2010-10-01,FIXED_NA,3379,10,0,0.769,2010-06-04,2010-08-23,1,1,2010-05-25,FIXED_NA,Other,7.0,CHD,1,FIXED_NA,0.0,0.0,FIXED_NA,0.0,0,East Coast,EXISTING,13,14,3379,1,2010-09-08,2010-09-08,138.0,138.0,High,High,High->High,Other.DepartureMonth,Undefined,Undefined,Undefined->Undefined,I,1,0.0,0.9285714290000001,1,FIXED_NA,0,10.0,9.0,0.0,0.0,2010-09-20,2010-10-04,1900-01-01,1900-01-01,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1
8,9,CC,8.0,8.0,AZ,0,8,A,2011-01-29,2011-02-05,2010-06-01,CP,2200,30,0,0.5770000000000001,2010-02-12,2010-02-12,0,4,2010-02-11,FIXED_NA,Other,5.0,CHD,1,6,12.0,500.0,K,0.231,0,East Coast,EXISTING,52,56,2200,1,2010-09-08,2010-09-08,143.0,143.0,Middle,Middle,Middle->Middle,Other.DepartureMonth,Middle,High,Middle->High,C,1,0.10400000000000001,0.9285714290000001,4,S-M,1,9.0,10.0,9.0,0.0,2010-02-19,2010-04-12,2010-05-17,2010-07-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,10,HD,8.0,8.0,TX,0,4,A,2011-02-07,2011-02-10,2010-10-25,FIXED_NA,1428,51,1,0.773,2010-04-01,2010-08-11,1,6,2010-03-31,FIXED_NA,Houston,5.0,Private non-Christian,1,PK,8.0,635.0,K,0.136,0,East Coast,EXISTING,66,72,1428,1,2010-09-14,2010-09-14,146.0,146.0,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.10393700800000001,0.916666667,6,M-L,1,9.0,0.0,8.0,0.0,2010-04-26,2010-04-30,2010-05-09,2010-05-31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
