Date,VIX,SPX
1/2/2018,9.77,2695.81
1/3/2018,9.15,2713.06
1/4/2018,9.22,2723.99
1/5/2018,9.22,2743.15
1/8/2018,9.52,2747.71
1/9/2018,10.08,2751.29
1/10/2018,9.82,2748.23
1/11/2018,9.88,2767.56
1/12/2018,10.16,2786.24
1/16/2018,11.66,2776.42
1/17/2018,11.91,2802.56
1/18/2018,12.22,2798.03
1/19/2018,11.27,2810.30
1/22/2018,11.03,2832.97
1/23/2018,11.1,2839.13
1/24/2018,11.47,2837.54
1/25/2018,11.58,2839.25
1/26/2018,11.08,2872.87
1/29/2018,13.84,2853.53
1/30/2018,14.79,2822.43
1/31/2018,13.54,2823.81
2/1/2018,13.47,2821.98
2/2/2018,17.31,2762.13
2/5/2018,37.32,2648.94
2/6/2018,29.98,2695.14
2/7/2018,27.73,2681.66
2/8/2018,33.46,2581.00
2/9/2018,29.06,2619.55
2/12/2018,25.61,2656.00
2/13/2018,24.97,2662.94
2/14/2018,19.26,2698.63
2/15/2018,19.13,2731.20
2/16/2018,19.46,2732.22
2/20/2018,20.6,2716.26
2/21/2018,20.02,2701.33
2/22/2018,18.72,2703.96
2/23/2018,16.49,2747.30
2/26/2018,15.8,2779.60
2/27/2018,18.59,2744.28
2/28/2018,19.85,2713.83
3/1/2018,22.47,2677.67
3/2/2018,19.59,2691.25
3/5/2018,18.73,2720.94
3/6/2018,18.36,2728.12
3/7/2018,17.76,2726.80
3/8/2018,16.54,2738.97
3/9/2018,14.64,2786.57
3/12/2018,15.78,2783.02
3/13/2018,16.35,2765.31
3/14/2018,17.23,2749.48
3/15/2018,16.59,2747.33
3/16/2018,15.8,2752.01
3/19/2018,19.02,2712.92
3/20/2018,18.2,2716.94
3/21/2018,17.86,2711.93
3/22/2018,23.34,2643.69
3/23/2018,24.87,2588.26
3/26/2018,21.03,2658.55
3/27/2018,22.5,2612.62
3/28/2018,22.87,2605.00
3/29/2018,19.97,2640.87
4/2/2018,23.62,2581.88
4/3/2018,21.1,2614.45
4/4/2018,20.06,2644.69
4/5/2018,18.94,2662.84
4/6/2018,21.49,2604.47
4/9/2018,21.77,2613.16
4/10/2018,20.47,2656.87
4/11/2018,20.24,2642.19
4/12/2018,18.49,2663.99
4/13/2018,17.41,2656.30
4/16/2018,16.56,2677.84
4/17/2018,15.25,2706.39
4/18/2018,15.6,2708.64
4/19/2018,15.96,2693.13
4/20/2018,16.88,2670.14
4/23/2018,16.34,2670.29
4/24/2018,18.02,2634.56
4/25/2018,17.84,2639.40
4/26/2018,16.24,2666.94
4/27/2018,15.41,2669.91
4/30/2018,15.93,2648.05
5/1/2018,15.49,2654.80
5/2/2018,15.97,2635.67
5/3/2018,15.9,2629.73
5/4/2018,14.77,2663.42
5/7/2018,14.75,2672.63
5/8/2018,14.71,2671.92
