Strike,Price
200,476.70
300,379.60
350,332.40
400,286.60
450,242.50
500,201.00
550,162.40
600,127.10
650,95.90
655,93.00
660,90.20
665,87.40
670,84.60
675,81.80
680,79.30
685,76.70
690,74.10
695,71.50
700,69.40
705,67.00
710,64.40
715,61.70
720,59.40
725,57.20
730,55.10
735,52.70
740,50.80
745,48.90
750,47.00
775,38.00
780,36.30
800,30.20
820,25.00
825,23.80
830,22.50
835,21.50
840,20.40
850,18.40
875,14.10
900,10.50
925,7.80
950,5.60
975,4.10
1000,2.90
1025,2.20
1050,1.65
1075,1.25
1100,1.05
1125,0.85
1150,0.75
1175,0.60
1200,0.60
1225,0.55
1250,0.50
1275,0.45
1300,0.40
1325,0.40
1350,0.40
1375,0.40
1400,0.40
1425,0.40
1450,0.40
1475,0.40
1500,0.40
1525,0.40
1550,0.40
1575,0.40
1600,0.30
1625,0.30
1650,0.30
