year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag
2017,2,8,20,2/9/2017 1:05,iPhone,81919,17825,Picture/link,Yes,No
2017,2,8,17,2/8/2017 22:07,iPhone,55817,11696,Picture/link,No,No
2017,2,8,16,2/8/2017 21:46,iPhone,51699,13953,Picture/link,No,No
2017,2,8,14,2/8/2017 19:39,iPhone,82429,20705,Picture/link,No,No
2017,2,8,14,2/8/2017 19:22,iPhone,70357,16563,Picture/link,Yes,No
2017,2,8,12,2/8/2017 17:41,Android,67233,14217,No picture/link,Yes,No
2017,2,8,10,2/8/2017 15:54,iPhone,49918,15607,Picture/link,No,No
2017,2,8,10,2/8/2017 15:51,iPhone,112483,22374,No picture/link,Yes,No
2017,2,8,10,2/8/2017 15:23,iPhone,74040,13689,Picture/link,No,No
2017,2,8,8,2/8/2017 13:04,Android,64248,9952,No picture/link,No,No
2017,2,8,7,2/8/2017 12:03,Android,1.00E+05,20167,No picture/link,Yes,No
2017,2,7,20,2/8/2017 1:04,Android,146828,34214,No picture/link,Yes,No
2017,2,7,11,2/7/2017 16:25,iPhone,100975,17460,Picture/link,No,No
2017,2,7,7,2/7/2017 12:11,iPhone,180664,49044,No picture/link,Yes,Yes
2017,2,6,21,2/7/2017 2:49,Android,140939,32018,No picture/link,Yes,No
2017,2,6,21,2/7/2017 2:33,Android,88637,16103,No picture/link,Yes,No
2017,2,6,18,2/6/2017 23:33,iPhone,50648,7814,Picture/link,Yes,No
2017,2,6,11,2/6/2017 16:32,Android,94032,19099,No picture/link,Yes,No
2017,2,6,7,2/6/2017 12:07,Android,123175,23876,No picture/link,Yes,No
2017,2,6,7,2/6/2017 12:01,Android,158747,35674,No picture/link,No,No
2017,2,5,22,2/6/2017 3:36,Android,268502,74686,No picture/link,Yes,No
2017,2,5,17,2/5/2017 22:49,Android,185642,37220,No picture/link,Yes,Yes
2017,2,5,15,2/5/2017 20:42,Android,145364,28252,No picture/link,Yes,No
2017,2,5,15,2/5/2017 20:39,Android,136926,29154,No picture/link,Yes,No
2017,2,4,19,2/5/2017 0:48,Android,129615,28371,No picture/link,Yes,No
2017,2,4,19,2/5/2017 0:34,Android,70579,11456,No picture/link,Yes,No
2017,2,4,18,2/4/2017 23:37,Android,97193,17993,Picture/link,No,No
2017,2,4,16,2/4/2017 21:44,Android,137116,29626,No picture/link,No,No
2017,2,4,15,2/4/2017 20:44,Android,148355,32996,No picture/link,No,No
2017,2,4,9,2/4/2017 14:26,Android,255463,66243,No picture/link,Yes,No
2017,2,4,8,2/4/2017 13:39,Android,103122,17619,No picture/link,Yes,No
2017,2,4,8,2/4/2017 13:12,Android,159987,33761,No picture/link,Yes,No
2017,2,4,8,2/4/2017 13:06,Android,140089,28514,No picture/link,Yes,No
2017,2,4,7,2/4/2017 12:59,Android,175811,38143,No picture/link,Yes,No
2017,2,3,22,2/4/2017 3:07,Android,155013,27176,No picture/link,Yes,No
